,mpa_id,wdpa_id,wdpa_pid,name,country,sovereign,designatio,designat_1,designat_2,iucn_categ,status,status_yea,is_mpa,implemente,implementa,no_take,no_take_ar,rep_m_area,calc_m_are,rep_area,calc_area,gov_type,mgmt_auth,mgmt_plan_,fishing,access,constancy,permanence,SHAPE_Leng,SHAPE_Area,geography_area,mmsi_count,in_pre,out_pre,in_post,out_post
0,68808362,555624907,,Marae Moana,COK,COK,Marine Managed Area,Marine Managed Area,National,VI,Designated,2017,0,1,,Not Reported,0.0,1673000.0,1706212.2421,1673000.0,0.0,Collaborative governance,Marae Moana Council,Management plan currently under development,Yes,Yes,Unknown,Unknown,116.579515641,143.8877687,1706196,108,94362,404338,312273,855987
1,9047,555624810,555624810_A,Ross Sea Region [General Protection Zone (i) Ross Sea shelf/slope and Balleny Islands],ABNJ,ABNJ,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),International,Not Reported,Designated,2017,1,1,2017-12-01,All,1555851.0,1555851.0,973704.0,1555851.0,1521512.0,Joint governance,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,No,Unknown,Unknown,Permanent,443.363545793,554.382341324,1555942,11,5876,182278,763,92471
2,15625,555577562,555577562,Natural Park of the Coral Sea,NCL,FRA,Parc Naturel,Natural Park,National,VI,Designated,2014,1,1,2018-03-01,None,28000.0,1292962.0,1294950.0,1292967.0,1291642.0,Sub-national ministry or agency,New Caledonian Government,http://www.affmar.gouv.nc/portal/page/portal/affmar/librairie/fichiers/26486252.PDF,Unknown,Unknown,Unknown,Unknown,71.5502847455,112.435505375,1289995,29,198945,35399,119976,21428
3,9259,555547601,,South Georgia and South Sandwich Islands,SGS,GBR,Marine Protected Area,Marine Protected Area,National,VI,Designated,2012,1,1,,None,0.0,1240000.0,1242752.62718,1240000.0,1246714.50549,Federal or national ministry or agency in charge,Government of South Georgia and South Sandwich Islands (GSGSSI),http://www.gov.gs/docsarchive/Environment/Marine%20Protected%20Area/MPA%20Management%20Plan%20v2.0.pdf,Some Restrictions,Yes,Year-round,Unknown,60.235012613,182.193914785,1246714,25,0,0,145379,297806
4,68819490,555547601,555547601,South Georgia and South Sandwich Islands Marine Protected Area,SGS,GBR,Marine Protected Area,Marine Protected Area,National,VI,Designated,2012,1,1,,Part,302846.0,1240000.0,1065899.0,1240000.0,1069871.0,Federal or national ministry or agency,Government of South Georgia and South Sandwich Islands (GSGSSI),http://www.sgisland.gs/download/MPA/MPA%20Plan%20v1-1.01%20Feb%2027_12.pdf,Unknown,Unknown,Unknown,Unknown,87.9414537181,180.808019208,1237120,25,0,0,143593,299591
5,68808390,0,,Papahānaumokuākea 2016 Expansion,USA,USA,Marine National Monument,Marine National Monument,National,,Designated,2016,1,1,,All,0.0,0.0,0.0,1508870.0,0.0,Partnership,"Department of Commerce, the Department of the Interior, the State of Hawai'i, and Office of Hawaiian Affairs",,Some Restrictions,Unknown,Year-round,Permanent,99.3401511085,103.652012873,1146553,6,954,11818,934,71205
6,68818911,555692282,555692282,Périmètre De Protection De La Réserve Naturelle Nationale Des Terres Australes Françaises,ATF,FRA,Périmètre De Protection D’Une Réserve Naturelle Nationale,Protected Perimeter Around A National Nature Reserve,National,Not Reported,Designated,2017,1,1,,Not Reported,0.0,0.0,989611.0,1010780.0,989611.0,Federal or national ministry or agency,Not Reported,Not Reported,Unknown,Unknown,Unknown,Unknown,120.907548442,109.836845963,988912,3,244,28675,801,14893
7,68808360,345888,345888_F,Terres Australes Françaises [Périmètre de protection de la / Protection Zone around Nature Reserve],ATF,FRA,Réserve Naturelle Nationale,Protection zone around Nature Reserve,National,VI,Designated,2017,0,1,2016-12-16,None,0.0,989787.0,989240.0,989787.0,989240.0,Federal or national ministry or agency,Terres Australes et Antarctiques Françaises,Not Reported,Some Restrictions,Unknown,Year-round,Permanent,120.868836286,109.793048694,988520,2,113,12152,708,11219
8,9178,555624172,555624172,Pitcairn Islands,PCN,GBR,Marine Reserve,Marine Reserve,National,Not Reported,Designated,2016,1,1,,All,836064.0,834334.0,836103.763096,834334.0,839568.0,Not Reported,United Kingdom,In progress – completion 2017,Some Restrictions,Restricted,Unknown,Unknown,37.2142050815,74.2719972409,832732,1,0,10202,5,20698
9,68818983,555697868,555697868,French Austral Lands and Seas,ATF,FRA,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,2019,1,1,,Not Reported,0.0,0.0,661038.0,672969.0,670029.0,Not Reported,Not Reported,Not Reported,Unknown,Unknown,Unknown,Unknown,70.6367796922,80.6303636054,671825,13,110140,9997,25345,3348
